747462075551719424,aca,abort,5,,,2,2016-06-27 16:10:20,2,4,1
747444446900424704,abort,,5,,,2,2016-06-27 15:00:17,2,4,1
747434177100914688,abort,,5,4,,2,2016-06-27 14:19:29,2,4,1
747420270713933824,guns,,7,13,,2,2016-06-27 13:24:13,1,,1
747133840372576257,guns,lgbt,17,,,2,2016-06-26 18:26:03,2,5,1
747058354808193026,lgbt,,16,,,2,2016-06-26 13:26:06,2,,1
746456772127358979,lgbt,,4,,,2,2016-06-24 21:35:37,2,,1
746452361996967937,lgbt,,10,4,,2,2016-06-24 21:18:06,2,,1
746417752877871104,lgbt,guns,8,17,,2,2016-06-24 19:00:34,3,1,1
746413341409607681,guns,lgbt,11,17,,2,2016-06-24 18:43:02,3,,1
746410170800967680,lgbt,,17,,,2,2016-06-24 18:30:27,3,1,1
746405804983521281,guns,,11,,,2,2016-06-24 18:13:06,1,3,2
746402671381274624,lgbt,,17,11,,2,2016-06-24 18:00:39,1,3,2
746384458836738048,lgbt,,10,,,2,2016-06-24 16:48:16,2,3,1
746354438340739074,isis,,12,7,,2,2016-06-24 14:48:59,4,1,2
746007485249626112,guns,,11,12,,2,2016-06-23 15:50:19,1,3,1
745978506983669761,guns,,11,,,2,2016-06-23 13:55:10,4,3,2
745975776181362688,guns,,12,10,,2,2016-06-23 13:44:19,1,4,1
745964259700576256,guns,,3,9,,2,2016-06-23 12:58:33,1,,1
745775561847472128,guns,,12,,,2,2016-06-23 00:28:44,3,1,1
745754484807184384,guns,,12,,,2,2016-06-22 23:04:59,3,,2
745741954911088640,guns,,11,,,2,2016-06-22 22:15:11,1,3,1
745737999376355329,guns,,12,,,2,2016-06-22 21:59:28,3,,1
745734539230781440,guns,,7,12,,2,2016-06-22 21:45:43,1,4,1
745726821044527104,guns,,12,,,2,2016-06-22 21:15:03,4,,2
745719605365211137,guns,,3,17,,2,2016-06-22 20:46:23,1,,2
745667143283384325,guns,,13,12,,2,2016-06-22 17:17:55,1,,1
745649552343064576,guns,,12,13,,2,2016-06-22 16:08:01,1,,1
745603088606707713,guns,,11,12,,2,2016-06-22 13:03:23,3,,1
745334373738758144,guns,,7,,,2,2016-06-21 19:15:36,1,,1
745312638020820996,guns,,11,,,2,2016-06-21 17:49:14,1,,2
745242897755275264,isis,,11,7,,2,2016-06-21 13:12:07,1,,1
745028932496400384,guns,,12,,,2,2016-06-20 23:01:54,1,4,2
744990451795656704,isis,,3,10,,2,2016-06-20 20:28:59,5,4,1
744953545565310976,guns,,17,,,2,2016-06-20 18:02:20,3,,1
744899614550142976,guns,,11,13,,2,2016-06-20 14:28:02,4,1,1
744296201504309248,guns,,4,17,,2,2016-06-18 22:30:17,2,3,1
743828717122756608,guns,,17,,,2,2016-06-17 15:32:40,6,,
743475343588200448,guns,,13,,,2,2016-06-16 16:08:29,1,3,1
743466222684078081,guns,,11,,,2,2016-06-16 15:32:15,1,,2
743181822205526016,guns,,16,,,2,2016-06-15 20:42:08,6,,
743136151314235392,guns,,7,8,,2,2016-06-15 17:40:39,1,,1
743121991276892160,guns,,9,12,,2,2016-06-15 16:44:23,1,4,2
742786277976592385,guns,,17,13,,2,2016-06-14 18:30:23,2,3,1
742702853123387392,guns,,7,12,13,2,2016-06-14 12:58:53,1,,1
742493230609145857,guns,,13,,,2,2016-06-13 23:05:55,5,4,1
742448483022475264,guns,,17,3,,2,2016-06-13 20:08:07,3,,1
742440676327972865,guns,,17,,,2,2016-06-13 19:37:05,4,5,2
742423872503304193,guns,,7,,,2,2016-06-13 18:30:19,1,,1
742412873025085441,guns,,17,,,2,2016-06-13 17:46:36,6,,
